,rmse,mae,n_predictions,precision@5,recall@5,ndcg@5,hit_rate@5,map@5,mrr@5,precision@10,recall@10,ndcg@10,hit_rate@10,map@10,mrr@10,precision@20,recall@20,ndcg@20,hit_rate@20,map@20,mrr@20,catalog_coverage@20,users_evaluated,user_coverage
Global Mean,1.7819996876086108,1.4080098046779523,23863.0,,,,,,,,,,,,,,,,,,,,,
User Mean,1.6452721032427948,1.2395209433664396,23863.0,,,,,,,,,,,,,,,,,,,,,
Item Mean,1.8141752818037982,1.4227836199776558,23863.0,,,,,,,,,,,,,,,,,,,,,
ALS_min5,1.7775289433644572,1.381104459943499,23863.0,0.003657978966620942,0.006418504901650318,0.005780639376404292,0.0172229843011736,0.003460795150624634,0.009025555047502921,0.003261697911903673,0.01196746786945188,0.007899123868146127,0.03017832647462277,0.004242299050936643,0.01072638220557745,0.003261697911903673,0.01196746786945188,0.00783593792489885,0.03017832647462277,0.004242299050936643,0.01072638220557745,0.5353681630834355,6561.0,1.0
ALS_min10,1.6528917252750097,1.2733434574373417,7857.0,0.009619686800894856,0.014202081344875408,0.01372677787488527,0.0441834451901566,0.007970697597044293,0.024263609246830728,0.008668903803131992,0.02459718308457331,0.018399272284021804,0.07885906040268456,0.009511483235392523,0.028684173147260395,0.008668903803131992,0.02459718308457331,0.01824904398064272,0.07885906040268456,0.009511483235392523,0.028684173147260395,0.75,1788.0,1.0
FunkSVD,1.5683332421531646,1.217335631114764,23863.0,0.00024386526444139615,0.0002457704618198445,0.00024711561286185275,0.0012193263222069807,8.962895222611731e-05,0.00044708631814255963,0.0002591068434689834,0.0006766381766381765,0.0004048900567476415,0.002591068434689834,0.00014281551852044156,0.0006111147400584986,0.0002591068434689834,0.0006766381766381765,0.00039348558652630415,0.002591068434689834,0.00014281551852044156,0.0006111147400584986,0.0014481452601091678,6561.0,1.0
FunkSVD_min5,1.5683332421531646,1.217335631114764,23863.0,0.00024386526444139615,0.0002457704618198445,0.00024711561286185275,0.0012193263222069807,8.962895222611731e-05,0.00044708631814255963,0.0002591068434689834,0.0006766381766381765,0.0004048900567476415,0.002591068434689834,0.00014281551852044156,0.0006111147400584986,0.0002591068434689834,0.0006766381766381765,0.00039348558652630415,0.002591068434689834,0.00014281551852044156,0.0006111147400584986,0.0014481452601091678,6561.0,1.0
FunkSVD_min10,1.5046225866775471,1.1648115670765768,7857.0,0.0014541387024608503,0.0016662091326520858,0.0015962646491982885,0.00727069351230425,0.0006999502175676672,0.0031226696495152873,0.00151006711409396,0.0038862563610885755,0.0025619692655908036,0.015100671140939598,0.0010011387702942515,0.004204396150704876,0.00151006711409396,0.0038862563610885755,0.0025403536668374997,0.015100671140939598,0.0010011387702942515,0.004204396150704876,0.007425742574257425,1788.0,1.0
